sentence_id,text,target,polarity,label
1119,Just look at the portfolios.  Stop in and get a feel for the place.  Awesome Machine Productions!,place,positive,2
251,Complimentary BBQ chips today!  What a nice surprise!,BBQ chips,positive,2
1615,They are out of frog legs :(,frog legs,negative,0
1566,"If you're looking for a traditional dim sum experience, it's not here.",dim sum experience,negative,0
1701,Gotta love Irish music and appreciate good service.  Tigger is great and knows the menu inside and out.,Irish music,positive,2
1815,Ask for lettuce and ssamjang with your Bulgogi here.,Bulgogi,neutral,1
1293,Slow service but the empanadas were tasty.,empanadas,positive,2
372,The place is swank....and very affordable! Try it...today,swank,positive,2
489,"I have yet to eat inside but their porch area was great. The service was super friendly, the margaritas are good but a tad overpriced, and their corn on the cob is fantastic.",margaritas,negative,0
1775,Chamomile grits with Orange syrup and spiced pecans!,Chamomile grits with Orange syrup and spiced pecans,neutral,1
1356,"Pizza slices, brownie and salad.",salad,neutral,1
641,No AC here but taking out.,No AC,negative,0
1115,We love coming here when in Philadelphia. Nice food and great prices,food,positive,2
1148,Must try honey biscuit. It's like a hybrid of baklava and shortbread. Yum!!!!!,shortbread,neutral,1
880,"They're very inconsistent with water. Sometimes they give you free bottles of water (because they don't have anything else) and sometimes they give you tap water, which doesn't taste so great. I would maybe bring your own water, because the pizza is just too damn good to care about water issues.",free bottles of water,neutral,1
5,Starbucks substitute in boring downtown Tampa. Ugh. Never again!,downtown Tampa,negative,0
1014,Thursdays half off wine.,wine,positive,2
766,I really like their tea fruit drinks and frozen sorbets. Very refreshing.,tea fruit drinks,positive,2
49,The music in the bar is a bit loud!,music volume,negative,0
850,Build your own salad is Ahhh-mazing.,Build your own salad,positive,2
1542,"At $5, only 16 oz. and full of ice, the cold brew may be the biggest rip off in Nashville.",$5,negative,0
477,"The Chopped Shrimp, Creole Rib, and Calypso Beef were three great tacos to start with on Taco Tuesday.",Chopped Shrimp,positive,2
1345,Best Rubin on town.,Rubin,positive,2
26,Great fish and chips!!,fish and chips,positive,2
220,"Hot dog! Best selection in town, home style fries, good fries pickles.  Super friendly people.  Eat here!",fries pickles,positive,2
1736,Don't order online. Pay in store or you will wait forever!,order online,negative,0
1405,Mack n cheese bites keep me coming back,Mack n cheese bites,positive,2
102,They have bathrooms in the restaurant.,bathrooms,neutral,1
1297,Prices are higher than the menu on their website.,Prices,negative,0
1,They have lots of good deserts and tasty cuban sandwiches,deserts,positive,2
1616,"Take the 30 seconds to sign up for IKEA family. You'll get a free coffee or tea with unlimited refills every day, no purchase required!",tea,positive,2
52,College crowd dive bar scene. Friendly folks & lots of Irish eye candy ;) hahaha,college crowd dive bar scene,neutral,1
112,"Met one of the owners, awesome vibe in the place",owner,positive,2
230,"Good food, really loud hard to carry on a conversation.",loud environment,negative,0
747,The best escarole soup!,escarole soup,positive,2
996,"Breakfast every morning 6 AM to 10 AM. 
Huge number of options.... Sont waste money on Starbucks next door. Grab the same coffee in breakfast",options,positive,2
1779,Cash only and self serve. Come early to get them fresh !,them,positive,2
140,Best sushi and Asian food that I've had in STL!,sushi and Asian food,positive,2
18,Icky on tap,tap drink,negative,0
1259,10% off wine when you buy 6,wine,positive,2
1515,Love this place! I'm glad that Yelp offered 50 percent off appetizer!,appetizer,neutral,1
345,Seriously order the trashed wings,trashed wings,positive,2
285,They have Trinidadian pepper sauce!,Trinidadian pepper sauce,positive,2
1572,Great music. But don't touch Miriam's Castillo bottle.,music,positive,2
1572,Great music. But don't touch Miriam's Castillo bottle.,Miriam's Castillo bottle,negative,0
556,Use the phone app and preload for ease of payment.,phone app,positive,2
1420,Some of the best sweet tea I've ever had!,sweet tea,positive,2
1844,gave me candles for my cake! so nice,my cake,positive,2
1367,"Happy Hour $5 glasses of wine are only for house wines! Beware, as there's no info on that anywhere.",house wines,negative,0
13,The pimento cheese tastes great and is a large portion for a starter - great for sharing!  The fried pickles are also awesome!,fried pickles,positive,2
1630,"Hot chocolate, splash of caramel",Hot chocolate,neutral,1
989,1 Margarita.    Floor,Margarita,neutral,1
1293,Slow service but the empanadas were tasty.,service,negative,0
23,The honey glazed salmon is amazing!,honey glazed salmon,positive,2
1079,Ahi tuna app is melt-in-your-mouth delicious and the perfect portion size for one person.,Ahi tuna app,positive,2
507,Good food and service. Great for family dinner!,food,positive,2
1215,"Food is average at best.  Service is ""rude hipster"".  If you want pizza try Mid City Pizza across the street.",pizza,neutral,1
256,Cajun corn fritters!!!,Cajun corn fritters,positive,2
1668,Horrible service!,service,negative,0
1325,Ginger cookie with lemon ice cream yum!,lemon ice cream,positive,2
298,"Always sit at sushi bar and only had the sushi, always awesome!",sushi bar,positive,2
1016,Omg im addicted to the chicken jalapeno! Other dishes tasty as well! Im hooked,Other dishes,positive,2
617,"Once again out of main dish I like and out of iced tea, 0-2 this week.",main dish,negative,0
100,The Duchess = combo of marzipan on cream on lemon/raspberry white cake that's moist and yummy (better than this sounds!). Worth the price.,marzipan on cream on lemon/raspberry white cake,positive,2
1666,Great food....!,food,positive,2
739,"Taco's were ok, not much to them. Nothing special...  And they messed up our order..",order,negative,0
844,Tons of boba choices including taro! You can also get lychee jelly instead of tapioca- yum!!,boba choices,positive,2
1307,Love their pastries and drinks!,drinks,positive,2
386,"$$$cash only, cash only, cash only ! $$$",cash only,neutral,1
1263,"Smelled good, just in grabbing the dollar off orange leaf coupon tho, make sure to get one",coupon,neutral,1
1848,"Just used GrubHub for a delivery. Food took over an hour and a half to be delivered, sauce on pasta was supposed to be on side, food leaking from containers, no utensils.
I asked for a few sides and got none.
Buh bye, Little Italy.",utensils,negative,0
703,Lots to choose from if you don't mind fighting the crowds and foreign people.,crowds,negative,0
1806,A secret gem!!!!!! Forget yogurt and ice cream and stop by here after dinner!!,yogurt and ice cream,neutral,1
1026,"It's pretty cheap meat, at really expensive prices. So, if you're a quantity versus quality kind of person, maybe you'll like it! We did not.",meat,negative,0
1072,Good customer service. Nice selection. Good sales.,sales,positive,2
233,This is the undisputed breakfast champion on Dunedin. How is it that gay restaurants are so good.,breakfast,positive,2
1726,"My new favorite Korean spot in town. Excellent service, great for groups and delicious fresh food! Try the dumplings, beef spring roll and beef bulgogi!",dumplings,positive,2
1841,"Great food, more of a family atmosphere than the other locals.  Looks like a fun place to watch a game, but there is no sound on the tvs.",tvs,negative,0
1283,"For B vitamin shots, talk to Ellen on Monday, Tuesday or Wednesday.",Ellen,neutral,1
1334,The gyros are amazing! You can get a small greek salad with it for a little more money. So worth it!,small greek salad,positive,2
919,"Great food, fun place!",food,positive,2
1803,Omg is the chocolate baklava soooo good,chocolate baklava,positive,2
1783,There not much say here. Food OK,Food,neutral,1
1467,Service is very friendly. Plates tailor made. And the owner said I'm gonna love his Tabbouli.,Plates,neutral,1
984,Drink like a madman!,Drink,neutral,1
143,"Try the calamari, the chicken Marsala was great, and the ossobuco special was delicious. Great place, highly recommended!",ossobuco special,positive,2
1390,Try anything with the BBQ shrimp or it's sauce for a variation!,it's sauce,positive,2
1487,The waitress Tamara is great! So is the shrimp scampi zucchini fettuccine (though it could use less zucchini and more fettuccine).,zucchini,negative,0
827,Great beer selection and reasonably priced drinks.,beer selection,positive,2
1525,"Crazy busy tonight. So happy for the owners.  Wine and beer is available now!

If you're a newbie don't sweat the menu - it comes down to wrap or plate;  protein choice; sauce; and side.  Awesome dumplings and spring rolls for appetizers.",dumplings,positive,2
1706,"If you're using your phone app to pay in drive through, turn phone away from the sun for easy scanning.",scanning,neutral,1
387,Good fro yo,fro yo,positive,2
525,"Excellent sushi and sashimi, great selection of beer.",selection of beer,positive,2
378,Wine tastings for happy hour,wine tastings,positive,2
873,"The food at Grille 39 is amazing. Chef Phil creates the best salads, finger foods, and little sandwiches for the lunch buffet. My favorites are the crab cake sliders and homemade potato chips. The lobster bisque is so smooth and creamy....Yum. I am always pleasantly surprised with the lunch buffet.",finger foods,positive,2
1358,Delicious for spring rolls and shrimp papaya salad.,shrimp papaya salad,positive,2
205,"The richest, most divine fresh heavy cream comes from Tanner's.   With a balloon whisk, I hand-beat this cream into decadent Creme Chantilly in less than two minutes.   Left to his own devices, BAE would consume this whipped cream by the bowlful.",fresh heavy cream,positive,2
1709,Completely unhelpful assistance in the linens department.  I had already figured out that the SKU codes on the bridal registry corresponded with items somewhere in the store . . .  Uggh.,SKU codes on the bridal registry,neutral,1
1824,Steamed mussels,Steamed mussels,neutral,1
1458,I'm trying the chefs tasting!,chefs tasting,neutral,1
778,Great day to be on the patio for brunch.,patio,positive,2
793,Great wings everytime. 35 cents on Sunday,35 cents,positive,2
402,Service was exceptional and great salad and veggie burger.,service,positive,2
1510,I like the big board that has all the flight numbers and arrival numbers with the airlines name on it.,big board,neutral,1
1275,The bobbie is incredible. Get it and thank me later.,bobbie,positive,2
1341,Grouper and tofu hot pot. It's the bomb.,Grouper and tofu hot pot,positive,2
136,Excellent fresh seafood!! Friendly staff!! Clean!! Great place for dinner.,fresh seafood,positive,2
906,No boba here!,boba,negative,0
1526,There is a side entrance on Magnolia very handy for locals in the neighborhood or if you need to stop and pickup a To go order.,To go order,neutral,1
1267,"I come here a lot. Service is ok, lots of deals, sales, etc. I like how it's 24 hrs.","deals, sales, etc.",neutral,1
810,"A bit slow, but oh so worth it.  The food is awesome!",slow,negative,0
1553,"This place is trying, but the girls bartending could use some bartending school.",bartending school,negative,0
1530,PATIO PUNCH on Special Today  $7.00,PATIO PUNCH,neutral,1
1327,"Expect an incredibly long wait, even with reservations. Expect to make friends with the 10 other people waiting for their reservation.  DONT expect any sort of apology, because the servers' noses are stuck up in the air.",wait,negative,0
1728,If you sit in the lounge make sure they see you.,lounge,neutral,1
767,Always been impressed with their displays.,displays,positive,2
939,Awesome food,food,positive,2
143,"Try the calamari, the chicken Marsala was great, and the ossobuco special was delicious. Great place, highly recommended!",chicken Marsala,positive,2
1712,A cold Yuengling on a hot day gets me in the mood for pizza....lucky me...they have both here....,Yuengling,positive,2
316,"The food is amazing... Bottomless glass of wine!!!
Highly recommend...  A must do !",bottomless glass of wine,positive,2
526,Great food & lovely service! Had the lentil soup & fried spring rolls. Very yummy!,food,positive,2
725,Nice place to wait on the snowstorm of the year.,place,positive,2
1211,"I was a little disappointed in this visit. I've been here before and had a great experience. This time was not so good. The see ER seemed perturbed by our large party. No ""hello"", ""how are you"", etc. All the salads were warm. I don't know why. While the portions were generous as usual, my pasta lacked flavor and came out luke warm. The cheese cause was concealed. Cunetto's is normally fantastic. This time they missed the mark.",portions,positive,2
1604,"$15 DIY baths on Sundays! Same price as a lot of other DIY bathers, but I'd rather my money go to a non-profit!",$15 DIY baths on Sundays,neutral,1
1200,The Awe Yeah Gratin was 'awe' that and then some. Grilled tomatoes added a nice compliment to the plate.  The taters were spot on.,Grilled tomatoes,positive,2
428,Love the green curry and mango tofu. Good for vegetarians.,mango tofu,positive,2
13,The pimento cheese tastes great and is a large portion for a starter - great for sharing!  The fried pickles are also awesome!,pimento cheese,positive,2
1460,"Great food, good vibes. I like this place! #bottomlessmimosas",bottomlessmimosas,neutral,1
1596,Vaso has the worst bathrooms in Nola,bathrooms,negative,0
1759,Sit in the back room with leather chairs.,back room,neutral,1
916,Even the drive through effing sucks,drive through,negative,0
1528,Great cappuccino!!!!,cappuccino,positive,2
873,"The food at Grille 39 is amazing. Chef Phil creates the best salads, finger foods, and little sandwiches for the lunch buffet. My favorites are the crab cake sliders and homemade potato chips. The lobster bisque is so smooth and creamy....Yum. I am always pleasantly surprised with the lunch buffet.",salads,positive,2
406,Skip the soft drinks. $3.25 for a 10-ounce bottle of Coke?!,$3.25 for a 10-ounce bottle of Coke,negative,0
1479,"Pepper onion blend instead of sonoran style bacon.   Eat it with the roasted pepper! 2.50 a hot dog,  its good",2.50 a hot dog,neutral,1
527,Excellent iced coffee - better than Starbucks!,iced coffee,positive,2
606,"The manager is soooo kind, and awesome with making the salads....get him to make yours if you can!",salads,positive,2
354,"Done well. Good decor, great service and excellent food! Can't complain. A++

Can't beat 2/$20! One of the better Chilis around.",2/$20,positive,2
333,Great hamburger!,hamburger,positive,2
675,I come here often. Service is usually ok. I usually order from the McValue Menu.,Service,neutral,1
205,"The richest, most divine fresh heavy cream comes from Tanner's.   With a balloon whisk, I hand-beat this cream into decadent Creme Chantilly in less than two minutes.   Left to his own devices, BAE would consume this whipped cream by the bowlful.",Creme Chantilly,positive,2
917,Not a sit and eat place,place,negative,0
1655,Affordable hotel in walking distance to lots of downtown businesses,hotel,positive,2
284,"This place is a very good place to eat, drink and be merry! They have a pretty good selection of whiskey, especially for the area. The food is very good and the prices are pretty good.",selection of whiskey,positive,2
506,"Perfect place for a romantic dinner, first date and girls night out! Amazing atmosphere with award winning wine, doesn't get much better than this! Oh and a few blocks from the ocean!",wine,positive,2
613,Unique in a good way. Service was excellent. Food tasty. Interesting experience,Food,positive,2
1211,"I was a little disappointed in this visit. I've been here before and had a great experience. This time was not so good. The see ER seemed perturbed by our large party. No ""hello"", ""how are you"", etc. All the salads were warm. I don't know why. While the portions were generous as usual, my pasta lacked flavor and came out luke warm. The cheese cause was concealed. Cunetto's is normally fantastic. This time they missed the mark.",cheese cause,negative,0
420,Getting the Bubbly Bitch wine again.,Bubbly Bitch wine,positive,2
1737,Charity is a cool art deco style building. There is really no experience like the waiting room on a weekend night.,Charity,positive,2
504,The lobster roll is delicious!,lobster roll,positive,2
1018,Amazing cocktails!,cocktails,positive,2
1536,"Very nice as Gyms go!  Nice equipment, pool seems to be where people bathe, ( water is still there is sheen of something) Courtesy is a plus at check in.  Trainers are nice if you use them.  What can you expect for 9.95 a month.  I like to work out and move on.  Thanks!",9.95 a month,neutral,1
1601,Lobster bisque is fantastic!,Lobster bisque,positive,2
255,Salad!!!! Come to Mama!!,Salad,positive,2
154,Fried bbq oysters are a must have!,fried bbq oysters,positive,2
517,Nice little patio on the side! Cinco de Mayo celebration to tonight with drink specials and music!,drink specials,positive,2
879,"Awesome. They charged my card multiple times, nearly causing me an overdraft fee. They didn't even tell me that they had charged it multiple times. The charge had better clear off.",charged,negative,0
1857,"Dinner with the lovely and her parents. Oysters, mussels and steak frites.",Oysters,neutral,1
1419,They do have sandwiches despite not having a menu out in plain view!,sandwiches,positive,2
695,"Friendly service. Fair prices, they don't try to sell you things you don't need.",Friendly service,positive,2
56,Great good and service.,service,positive,2
524,Latte passes the test! Great English breakfast.,Latte,positive,2
1360,Chips fried in rancid oil. Don't eat!,Chips,negative,0
1675,State Dept. website has optimistic hours for the passport desk. They take lunches and apparently take some weekdays off. Call ahead.,passport desk,negative,0
317,They don't take reservations here so come early or send a scout. Best sushi in SB!,sushi,positive,2
1024,The employees were nice the place was clean food was kind of lukewarm. No beer,food,negative,0
799,"So yummy! They will make anything you want, even if it isn't on the menu.",anything,positive,2
997,Check in for a bogo beverage.,beverage,neutral,1
1388,Not the best cheese steak. Sparse with the meat. Good roll.,cheese steak,negative,0
145,"Not a big writer but quick review. Must haves are Roti Canai and Mee Siam, the Basil Noodles are also good. Was not a fan of the duck noodles (wasn't a fan so kinda forgot about them). Service was prompt.",Mee Siam,positive,2
533,"Taco Tuesday rocks!  Burrito Thursday good too. Love the chix taco, queso and chips.",queso and chips,positive,2
1797,The parking lot is enter at your own risk. Crazy busy!!,parking lot,negative,0
883,Tried the Cobb Salad and the Spinach Dip.,Spinach Dip,neutral,1
1491,"Good food good service, FBI fried banana desert is amazing",FBI fried banana desert,positive,2
1460,"Great food, good vibes. I like this place! #bottomlessmimosas",vibes,positive,2
588,The food was great! Best biscuits ever! True southern comfort food.,biscuits,positive,2
704,Best chicken ever. My kids love it and they're hard to impress.,chicken,positive,2
601,Kani Kamakazi: an afternoon delight.,Kani Kamakazi,positive,2
377,"Having a Guacamoli Bacon Burger, YUM!",Guacamoli Bacon Burger,positive,2
843,I'm told the mimosas are divine.  Food is fabulous. Servers are great.,mimosas,positive,2
1266,Try something new...white pizza with broccoli rabe. Different from the original but just as tasty.,white pizza with broccoli rabe,positive,2
1571,Sunday brunch day $16.99. Small amount of each food lol,each food,negative,0
1450,Super friendly service!  The cheddar and scallion scone is yummy.,cheddar and scallion scone,positive,2
266,Great menu and low prices,low prices,positive,2
1819,"This place has pool tables,darts,bowling,table tennis, arcade games, and lots of pretty ebony women.",bowling,neutral,1
1147,Spa messed up my body scrub appointment and offered later time. The later time did not work for me and they refunded the body scrub charge but still charged me the $20 day pass even though I had only used the facility for less than 30 minutes.,body scrub appointment,negative,0
1254,Try the chicken wings app. They are not your average wings. Stuff with Awesomeness.,chicken wings app,positive,2
829,"tigers blood, blue raspberry, and hurricane colada are my favorite flavors.","tigers blood, blue raspberry, and hurricane colada",positive,2
723,Their dark chocolate covered pretzels are pretty good,dark chocolate covered pretzels,positive,2
1843,Such great service! First time I came in after walking by every day for almost a year. The food was interesting. It was my first Chaat experience. Cannot wait to try more things!,Chaat,positive,2
1184,The digital screen (theater 13) has distracting lines on it like a folding map. I'll be going to regular projection screen next time.,digital screen,negative,0
983,Not worth the extra $5 for the vinylux weekly polish. It didn't even last 24 hours without chipping! It also doesn't go on as smooth as regular polish. So disappointed!,vinylux weekly polish,negative,0
1495,Love love love this place. Best sushi ever!,sushi,positive,2
44,Ordered the pad Thai shrimp and it was good!,pad Thai shrimp,positive,2
1264,Really disappointing. Could barely eat it - the chicken was so dry it was inedible.,chicken,negative,0
1832,Our waitress was amazing!  The beer was good and so was the food :),beer,positive,2
1239,"Always good drinks and staff, great at night when Jeremy plays.",Jeremy plays,positive,2
930,Ordered a burrito to go.  It had great flavors but barely any meat.,meat,negative,0
1476,Regular Cleaning $91 without insurance,Regular Cleaning,neutral,1
953,Longest drive through ever. Be prepared to wait 30 minutes for burgers,drive through,negative,0
689,It is cheap and good.  I dig it!,good,positive,2
742,Love its sweet potato fires and the Frossie!,the Frossie,positive,2
923,"Char-grilled oysters are a must, esp. when the Acme lines are ridiculous",Acme lines,negative,0
957,No longer offers free wine at check in!,check in,negative,0
1501,Black bean w chipotle,Black bean w chipotle,neutral,1
1382,"Phones weren't working so I couldn't call in, but they still gave me the 10% discount. Great customer service!",10% discount,positive,2
1386,I love the beignets and coffee,beignets,positive,2
825,Take my car for schedule maintenance and the service is awesome.,service,positive,2
1109,Try the chicken strips with the southwest chipotle ranch for,southwest chipotle ranch,neutral,1
25,"Best General Tso around. Also, try the grilled sweet pork, ask for extra sauce.",extra sauce,neutral,1
823,Parking for cars is up to $13. And they charge the same for a motorcycle?!,parking,negative,0
1270,I'm pretty sure that the waitress just changed my order.,waitress,negative,0
1282,"Mmmm, fresh OJ and cafe au lait",OJ,positive,2
1798,"Don't miss the back of the menu - lunch portions offered back there. Also, fries are super salty!",fries,negative,0
305,Smash fries the best fries ever.,Smash fries,positive,2
246,More variety than you could ever ask for! All materials & products as well ... Helpful service!,Helpful service,positive,2
705,Love the pizza- my favorite on this earth!,pizza,positive,2
517,Nice little patio on the side! Cinco de Mayo celebration to tonight with drink specials and music!,patio,positive,2
585,"New location at the TRD Wreckhouse, bring your own chairs seats are limited. :)",new location,neutral,1
1060,Check out House Special #3 with Taylor pork roll.,Taylor pork roll,neutral,1
1221,"Avoid this pharmacy as much as you can, the slowest service with the most rude staff ever!",service,negative,0
215,Good Italian restaurant with more than just the typical Italian-American fare.,Italian restaurant,positive,2
178,Addictive!   Hot cookies that taste amazing. Not much more to say!,hot cookies,positive,2
1159,They dropped the Irish Breakfast...WTF???  A table was about to walk after getting told for 3rd time food would be right out.  Declan & Connor are stumbling with their flagship spot.,Irish Breakfast,negative,0
1110,"It's no Knock, but there's paninis on the menu!",paninis,neutral,1
1525,"Crazy busy tonight. So happy for the owners.  Wine and beer is available now!

If you're a newbie don't sweat the menu - it comes down to wrap or plate;  protein choice; sauce; and side.  Awesome dumplings and spring rolls for appetizers.",Wine and beer,positive,2
1657,Ouch almost 38 bucks for two burgers fries and a beer? Then ages to wait only to be served a mediocre burger? Nah...ill pass.,wait,negative,0
919,"Great food, fun place!",place,positive,2
187,"Never have a bad experience here. Fast, friendly and accurate.",fast,positive,2
974,Ordered a BBQ Chicken Pizza. Easily the best pizza I've ever had. Great experience.,BBQ Chicken Pizza,neutral,1
1250,"Perfect burrito! Visually doesn't look like much, but the taste makes up for it in spades! Yumma!!",taste,positive,2
822,Love this venue and staff. Top of the line inventory too!,staff,positive,2
1197,I was in a hurry to be back at work and they worked hard to accommodate.,accommodate,positive,2
1277,"Warning: some buffet items were extremely salty, probably the more spicier items, since nothing stood out as too salty while i was eating.  But i drank a lot of water, and got bloated/retained water.  It wasnt until about 36 hrs later,  drinking more plain water that i flushed the salt and shed the bloat.",water,positive,2
1866,"Very good grouper sandwich, grilled or fried. Only wish the bun was toasted.",bun,negative,0
1651,Takeout tip: I placed my order at 1PM and then got to choose my pickup time. When I arrived at 7PM the pie was ready and warm.,pie,positive,2
881,"Host dude said 20 minute wait, it's been 40 and still waiting. Girl came up to him and said, ""how much longer?"" He says, ""15."" She says, ""really? Cause you said 20 twenty minutes ago."" His response? ""It's hard for me to tell time."" There's easily an hour wait now and he's still telling people 30-35 minutes.",wait,negative,0
1773,The food is awesome and you get a lot for your money!,your money,positive,2
973,Nice rooms. Nice bathrooms in the rooms. About to check out the restaurant & bar. I think I'm going to like it here!!,rooms,positive,2
337,Great pizza anytime!! This place is also solar powered.,solar powered,neutral,1
1274,Admiring the Christmas tree in the lobby,Christmas tree in the lobby,positive,2
1796,Vegan pies half off on Wednesday.  Buy one get one half off Tuesday.,Vegan pies,positive,2
1717,Delicious burgers with plenty of options for toppings & great service,service,positive,2
32,Drews Brews = yum!,Drews Brews,positive,2
1212,There are public restrooms and vending machines.,public restrooms,neutral,1
1704,The veggie burgers here are excellent drunk food. The baked potatoes are infant-sized!,veggie burgers,positive,2
1174,"I thought that I would give the place a try but I've been waiting too long. I came in with my niece for a Mommie day out experience but she's been taken care of and I'm still waiting. 
I don't like the atmosphere and I waited too long to be seen. 
I decided to leave and this time I don't plan to come back.",atmosphere,negative,0
1320,"6oz filet with shrimp, green beans with  roasted garlic & a cup of seafood gumbo AND dessert. All for 39.95, this deal lasts all winter.",6oz filet with shrimp,neutral,1
859,"Ordered padthai, fried rice and one of their specialty seafood.

Fried rice was tasty, but pad thai was less than satisfied. Seafood dish was little salty but overall okay.

But timing of serving was awkward. After waiting for 20-30 mins for the first dish we had to wait another several several minutes for next dish. By the time we got third dish after 50 mins or so, we already lost the appetite.

The place is way overpriced for quality of food and service.",fried rice,positive,2
1409,Not much signage--keep your eyes peeled for the coat of arms above the door.,coat of arms,neutral,1
1765,Hot charming chicken makes the meal !!,chicken,positive,2
674,"Excellent service, menu had plenty of options, great food, reasonable prices. 
We stopped in on a whim. Had the best server, superb service that we have searched for all over St Pete. 
We will be back soon.",service,positive,2
240,The new Crispy Parmasan Shrimp is delicious!!,Crispy Parmasan Shrimp,positive,2
1792,"Delicious, strong coffee and yummy baked goods with many GF and vegan options!! Try the vegan pumpkin whoopie pie. Bagels run out quick so get there early if you want one. They accept credit cards now, too!",vegan pumpkin whoopie pie,positive,2
1144,"Great place to hang out with friends. Great appetizers, sandwiches, burgers and flatbreads.",flatbreads,positive,2
1548,Great food...great service...every bit as good as downtown Indy.,service,positive,2
958,"Great food, great service, comfortable atmosphere. What more can one ask for?",atmosphere,positive,2
554,Omelettes are great; also liked spicy tuna sandwich,omelettes,positive,2
1277,"Warning: some buffet items were extremely salty, probably the more spicier items, since nothing stood out as too salty while i was eating.  But i drank a lot of water, and got bloated/retained water.  It wasnt until about 36 hrs later,  drinking more plain water that i flushed the salt and shed the bloat.",buffet items,negative,0
451,Very good service and food with lots of variety.  Kids eat for free if they are under 8.  Always a great experience.,kids eat for free if under 8,positive,2
752,This place is INSANE on a Sunday afternoon. And uncomfortably hot.,hot,negative,0
1393,Love the food and atmosphere!!!,atmosphere,positive,2
1045,The best quinoa cakes I have ever had,quinoa cakes,positive,2
296,"Perhaps the best rice and beans in town. The beans come in an edible chip cup like at Los Agaves, but are much richer and tastier. Try eating the cup with the beans!",rice and beans,positive,2
1206,"Great meal, I really like their hot pot",meal,positive,2
1619,Great little spot. Food takes a little while  to come out and the service is kind of awkward but the food is an A plus. Got the nook and cranny chicken sandwich with sweet potato fries. Chicken was tender and delicious. The fries were big wedges that were tender and flavorful. Definitely coming back and recommend,sweet potato fries,positive,2
66,Not a bad seat in the place,seat,positive,2
1102,"Wiifi has really stinks badly here for the last week at least. It is erratic at best. If you are lucky to get on at all, it drops you before you have a chance to submit even a sentence...been using my mobile data. Said something but baristas don't seem to know much about it or don't care...not sure which...",Wiifi,negative,0
1090,Found a nice flip flop for only 12 bucks! The cashier was really nice when I checked out!,12 bucks,positive,2
652,There were mice nesting under the kitchen sink,mice,negative,0
698,Try the j dawg!,j dawg,positive,2
1719,"For a unique flavor, try the Beehive Barely Buzzed Cheddar - amazing cheese with hints of lavender and a flavorful espresso rind",Beehive Barely Buzzed Cheddar,neutral,1
1091,Order water and nothing else!,water,neutral,1
1248,Leslie is a great server. No kids menu but they love the bunny bites and fried artichokes!,bunny bites,positive,2
1475,Go big on your pizza and add shrimp or chicken for $4. Prego!!!!!!,shrimp or chicken,positive,2
1505,"If you have a table...get the curly fries! If you're there for drinks, watch out because it gets super crowded on weekends late night.",crowded,negative,0
925,"Persimmon gelato - good,    mojito gelato - not so good.",mojito gelato,negative,0
1514,Good food at a fair price. Waiter was very friendly and the service was quick.,food,positive,2
1805,Bloody bar and breakfast burrrrritos. Lots of hot sauce to get the new year fired up!,Bloody bar,neutral,1
