source_year,domain,sentence_id,text,target,polarity
custom,custom,1819,"This place has pool tables,darts,bowling,table tennis, arcade games, and lots of pretty ebony women.",bowling,neutral
custom,custom,1147,Spa messed up my body scrub appointment and offered later time. The later time did not work for me and they refunded the body scrub charge but still charged me the $20 day pass even though I had only used the facility for less than 30 minutes.,body scrub appointment,negative
custom,custom,1254,Try the chicken wings app. They are not your average wings. Stuff with Awesomeness.,chicken wings app,positive
custom,custom,829,"tigers blood, blue raspberry, and hurricane colada are my favorite flavors.","tigers blood, blue raspberry, and hurricane colada",positive
custom,custom,723,Their dark chocolate covered pretzels are pretty good,dark chocolate covered pretzels,positive
custom,custom,1843,Such great service! First time I came in after walking by every day for almost a year. The food was interesting. It was my first Chaat experience. Cannot wait to try more things!,Chaat,positive
custom,custom,1184,The digital screen (theater 13) has distracting lines on it like a folding map. I'll be going to regular projection screen next time.,digital screen,negative
custom,custom,983,Not worth the extra $5 for the vinylux weekly polish. It didn't even last 24 hours without chipping! It also doesn't go on as smooth as regular polish. So disappointed!,vinylux weekly polish,negative
custom,custom,1495,Love love love this place. Best sushi ever!,sushi,positive
custom,custom,44,Ordered the pad Thai shrimp and it was good!,pad Thai shrimp,positive
custom,custom,1264,Really disappointing. Could barely eat it - the chicken was so dry it was inedible.,chicken,negative
custom,custom,1832,Our waitress was amazing!  The beer was good and so was the food :),beer,positive
custom,custom,1239,"Always good drinks and staff, great at night when Jeremy plays.",Jeremy plays,positive
custom,custom,930,Ordered a burrito to go.  It had great flavors but barely any meat.,meat,negative
custom,custom,1476,Regular Cleaning $91 without insurance,Regular Cleaning,neutral
custom,custom,953,Longest drive through ever. Be prepared to wait 30 minutes for burgers,drive through,negative
custom,custom,689,It is cheap and good.  I dig it!,good,positive
custom,custom,742,Love its sweet potato fires and the Frossie!,the Frossie,positive
custom,custom,923,"Char-grilled oysters are a must, esp. when the Acme lines are ridiculous",Acme lines,negative
custom,custom,957,No longer offers free wine at check in!,check in,negative
custom,custom,1501,Black bean w chipotle,Black bean w chipotle,neutral
custom,custom,1382,"Phones weren't working so I couldn't call in, but they still gave me the 10% discount. Great customer service!",10% discount,positive
custom,custom,1386,I love the beignets and coffee,beignets,positive
custom,custom,825,Take my car for schedule maintenance and the service is awesome.,service,positive
custom,custom,1109,Try the chicken strips with the southwest chipotle ranch for,southwest chipotle ranch,neutral
custom,custom,25,"Best General Tso around. Also, try the grilled sweet pork, ask for extra sauce.",extra sauce,neutral
custom,custom,823,Parking for cars is up to $13. And they charge the same for a motorcycle?!,parking,negative
custom,custom,1270,I'm pretty sure that the waitress just changed my order.,waitress,negative
custom,custom,1282,"Mmmm, fresh OJ and cafe au lait",OJ,positive
custom,custom,1798,"Don't miss the back of the menu - lunch portions offered back there. Also, fries are super salty!",fries,negative
custom,custom,305,Smash fries the best fries ever.,Smash fries,positive
custom,custom,246,More variety than you could ever ask for! All materials & products as well ... Helpful service!,Helpful service,positive
custom,custom,705,Love the pizza- my favorite on this earth!,pizza,positive
custom,custom,517,Nice little patio on the side! Cinco de Mayo celebration to tonight with drink specials and music!,patio,positive
custom,custom,585,"New location at the TRD Wreckhouse, bring your own chairs seats are limited. :)",new location,neutral
custom,custom,1060,Check out House Special #3 with Taylor pork roll.,Taylor pork roll,neutral
custom,custom,1221,"Avoid this pharmacy as much as you can, the slowest service with the most rude staff ever!",service,negative
custom,custom,215,Good Italian restaurant with more than just the typical Italian-American fare.,Italian restaurant,positive
custom,custom,178,Addictive!   Hot cookies that taste amazing. Not much more to say!,hot cookies,positive
custom,custom,1159,They dropped the Irish Breakfast...WTF???  A table was about to walk after getting told for 3rd time food would be right out.  Declan & Connor are stumbling with their flagship spot.,Irish Breakfast,negative
custom,custom,1110,"It's no Knock, but there's paninis on the menu!",paninis,neutral
custom,custom,1525,"Crazy busy tonight. So happy for the owners.  Wine and beer is available now!

If you're a newbie don't sweat the menu - it comes down to wrap or plate;  protein choice; sauce; and side.  Awesome dumplings and spring rolls for appetizers.",Wine and beer,positive
custom,custom,1657,Ouch almost 38 bucks for two burgers fries and a beer? Then ages to wait only to be served a mediocre burger? Nah...ill pass.,wait,negative
custom,custom,919,"Great food, fun place!",place,positive
custom,custom,187,"Never have a bad experience here. Fast, friendly and accurate.",fast,positive
custom,custom,974,Ordered a BBQ Chicken Pizza. Easily the best pizza I've ever had. Great experience.,BBQ Chicken Pizza,neutral
custom,custom,1250,"Perfect burrito! Visually doesn't look like much, but the taste makes up for it in spades! Yumma!!",taste,positive
custom,custom,822,Love this venue and staff. Top of the line inventory too!,staff,positive
custom,custom,1197,I was in a hurry to be back at work and they worked hard to accommodate.,accommodate,positive
custom,custom,1277,"Warning: some buffet items were extremely salty, probably the more spicier items, since nothing stood out as too salty while i was eating.  But i drank a lot of water, and got bloated/retained water.  It wasnt until about 36 hrs later,  drinking more plain water that i flushed the salt and shed the bloat.",water,positive
custom,custom,1866,"Very good grouper sandwich, grilled or fried. Only wish the bun was toasted.",bun,negative
custom,custom,1651,Takeout tip: I placed my order at 1PM and then got to choose my pickup time. When I arrived at 7PM the pie was ready and warm.,pie,positive
custom,custom,881,"Host dude said 20 minute wait, it's been 40 and still waiting. Girl came up to him and said, ""how much longer?"" He says, ""15."" She says, ""really? Cause you said 20 twenty minutes ago."" His response? ""It's hard for me to tell time."" There's easily an hour wait now and he's still telling people 30-35 minutes.",wait,negative
custom,custom,1773,The food is awesome and you get a lot for your money!,your money,positive
custom,custom,973,Nice rooms. Nice bathrooms in the rooms. About to check out the restaurant & bar. I think I'm going to like it here!!,rooms,positive
custom,custom,337,Great pizza anytime!! This place is also solar powered.,solar powered,neutral
custom,custom,1274,Admiring the Christmas tree in the lobby,Christmas tree in the lobby,positive
custom,custom,1796,Vegan pies half off on Wednesday.  Buy one get one half off Tuesday.,Vegan pies,positive
custom,custom,1717,Delicious burgers with plenty of options for toppings & great service,service,positive
custom,custom,32,Drews Brews = yum!,Drews Brews,positive
custom,custom,1212,There are public restrooms and vending machines.,public restrooms,neutral
custom,custom,1704,The veggie burgers here are excellent drunk food. The baked potatoes are infant-sized!,veggie burgers,positive
custom,custom,1174,"I thought that I would give the place a try but I've been waiting too long. I came in with my niece for a Mommie day out experience but she's been taken care of and I'm still waiting. 
I don't like the atmosphere and I waited too long to be seen. 
I decided to leave and this time I don't plan to come back.",atmosphere,negative
custom,custom,1320,"6oz filet with shrimp, green beans with  roasted garlic & a cup of seafood gumbo AND dessert. All for 39.95, this deal lasts all winter.",6oz filet with shrimp,neutral
custom,custom,859,"Ordered padthai, fried rice and one of their specialty seafood.

Fried rice was tasty, but pad thai was less than satisfied. Seafood dish was little salty but overall okay.

But timing of serving was awkward. After waiting for 20-30 mins for the first dish we had to wait another several several minutes for next dish. By the time we got third dish after 50 mins or so, we already lost the appetite.

The place is way overpriced for quality of food and service.",fried rice,positive
custom,custom,1409,Not much signage--keep your eyes peeled for the coat of arms above the door.,coat of arms,neutral
custom,custom,1765,Hot charming chicken makes the meal !!,chicken,positive
custom,custom,674,"Excellent service, menu had plenty of options, great food, reasonable prices. 
We stopped in on a whim. Had the best server, superb service that we have searched for all over St Pete. 
We will be back soon.",service,positive
custom,custom,240,The new Crispy Parmasan Shrimp is delicious!!,Crispy Parmasan Shrimp,positive
custom,custom,1792,"Delicious, strong coffee and yummy baked goods with many GF and vegan options!! Try the vegan pumpkin whoopie pie. Bagels run out quick so get there early if you want one. They accept credit cards now, too!",vegan pumpkin whoopie pie,positive
custom,custom,1144,"Great place to hang out with friends. Great appetizers, sandwiches, burgers and flatbreads.",flatbreads,positive
custom,custom,1548,Great food...great service...every bit as good as downtown Indy.,service,positive
custom,custom,958,"Great food, great service, comfortable atmosphere. What more can one ask for?",atmosphere,positive
